und_infl_adj_fs,width_mm_fs,asp_rat_adj_fs,ld_ind_fs,spd_rat_fs,roll_res_fs
0.297,-0.017,0.064,0.403,0.008,0.072
-0.126,-0.481,-0.424,0.292,-0.246,-0.024
-0.388,-0.173,0.315,-0.02,0.35,-0.031
0.484,0.296,-0.269,-0.415,-0.154,0.054
0.313,0.209,-0.038,-0.475,-0.139,0.054
0.009,0.046,0.424,-0.353,0.281,0.041
-0.375,-0.114,0.238,-0.334,-0.483,-0.013
-0.143,-0.314,0.169,0.077,-0.28,-0.021
0.102,-0.397,-0.253,-0.433,0.355,0.008
-0.377,-0.21,-0.309,0.294,-0.41,-0.042
0.222,-0.005,0.47,0.007,0.047,0.072
-0.406,0.12,0.397,-0.236,-0.276,0.039
-0.329,0.114,-0.122,0.23,-0.442,0.019
-0.183,0.022,-0.476,0.137,0.363,0.037
0.356,-0.097,0.229,-0.212,0.023,0.07
-0.292,-0.179,-0.486,0.462,-0.061,-0.034
0.494,-0.437,-0.214,0.339,-0.093,0.009
0.019,-0.251,0.105,-0.364,0.408,-0.0
-0.063,0.198,0.403,0.139,0.199,0.045
-0.428,0.034,0.262,-0.461,-0.386,0.037
0.414,-0.027,-0.048,-0.454,-0.43,0.049
0.005,-0.054,0.261,0.208,0.302,0.045
-0.238,0.059,-0.197,-0.194,0.222,0.03
-0.393,0.348,0.412,-0.151,0.035,0.04
0.01,-0.229,-0.403,-0.414,0.332,-0.004
-0.286,-0.473,-0.367,0.037,0.237,-0.037
0.311,-0.401,0.354,-0.36,0.422,0.014
0.453,0.103,-0.089,0.465,-0.009,0.063
-0.422,-0.446,0.173,-0.002,0.354,-0.034
-0.495,-0.146,0.184,0.366,-0.223,-0.031
-0.012,-0.336,0.327,0.274,0.318,-0.002
-0.301,0.291,-0.288,-0.269,0.406,0.03
0.112,0.186,-0.026,0.218,-0.33,0.057
0.163,0.19,0.373,0.312,-0.49,0.025
-0.066,0.206,0.436,0.314,-0.274,0.044
-0.09,-0.386,0.055,-0.045,0.05,-0.002
-0.136,0.294,-0.498,-0.203,-0.019,0.03
-0.17,0.314,0.025,-0.397,0.152,0.031
-0.18,0.119,-0.152,-0.075,0.117,0.037
0.491,-0.359,-0.039,0.196,-0.186,0.009
0.397,-0.105,-0.355,0.148,0.314,0.066
0.417,-0.483,0.173,0.272,0.241,0.013
0.1,0.02,-0.057,-0.397,0.474,0.052
0.454,-0.288,-0.201,-0.149,0.165,0.006
0.471,0.389,0.352,0.015,0.281,0.074
-0.305,0.09,0.082,0.12,0.113,0.044
-0.186,0.446,0.308,0.384,0.395,0.045
-0.48,0.074,-0.155,0.462,-0.011,0.037
-0.219,-0.033,-0.15,-0.132,0.246,0.03
0.401,0.05,-0.106,-0.049,0.167,0.063
0.164,-0.125,-0.169,0.454,0.413,0.066
0.218,-0.138,0.419,-0.217,0.427,0.012
0.009,-0.263,-0.298,-0.122,-0.018,-0.006
-0.457,0.113,0.466,0.162,-0.183,0.045
-0.146,-0.413,0.424,0.269,-0.074,-0.02
0.159,-0.021,-0.384,0.2,0.078,0.061
-0.33,-0.28,-0.051,-0.106,0.152,-0.037
0.481,0.239,0.026,0.396,-0.446,0.058
-0.001,-0.459,-0.1,-0.004,0.192,-0.006
-0.329,-0.16,0.087,-0.099,-0.094,-0.031
0.416,0.011,-0.256,0.285,-0.061,0.063
-0.474,-0.158,0.451,-0.486,-0.05,-0.042
-0.409,-0.335,-0.174,0.414,-0.242,-0.037
-0.215,0.284,-0.324,0.168,-0.026,0.037
-0.374,-0.358,0.111,-0.198,-0.364,-0.037
0.396,0.306,0.391,0.473,0.411,0.074
0.426,-0.181,-0.152,0.063,0.22,0.011
-0.141,-0.462,0.473,0.283,-0.213,-0.02
-0.419,0.428,-0.345,0.009,0.172,0.037
0.052,-0.216,-0.39,-0.33,-0.06,-0.003
0.027,0.222,-0.24,0.32,0.435,0.047
-0.221,0.246,-0.317,0.484,-0.358,0.037
0.125,-0.077,0.43,0.225,-0.441,0.073
-0.223,0.37,0.042,-0.369,0.047,0.031
-0.144,0.313,-0.428,0.071,0.434,0.037
0.371,-0.287,0.363,0.402,-0.002,0.013
0.351,0.169,0.053,-0.393,-0.324,0.062
0.345,0.353,0.334,0.048,0.095,0.074
0.424,0.361,-0.15,0.374,0.092,0.063
-0.442,-0.35,-0.148,-0.127,-0.424,-0.045
0.012,-0.403,-0.193,-0.288,0.375,-0.008
-0.139,-0.38,-0.253,-0.462,-0.387,-0.028
-0.031,-0.173,-0.338,0.391,0.12,-0.006
0.245,0.088,0.265,-0.378,-0.293,0.064
0.177,-0.303,-0.212,-0.33,0.079,0.006
0.05,0.403,-0.293,0.162,0.242,0.047
0.198,0.168,0.083,-0.012,-0.201,0.07
0.164,0.015,0.087,-0.322,-0.058,0.063
-0.488,-0.047,0.104,-0.031,0.18,0.044
0.498,0.219,-0.18,-0.28,0.228,0.054
-0.346,-0.264,0.018,-0.35,-0.485,-0.086
0.095,-0.18,-0.424,0.216,0.112,0.008
0.383,-0.385,0.277,0.114,0.274,0.013
-0.454,-0.416,-0.495,0.138,-0.447,-0.086
-0.232,0.376,-0.277,-0.007,-0.01,0.037
-0.258,0.024,-0.382,0.368,0.122,0.037
0.286,-0.078,-0.025,-0.303,-0.337,0.053
0.328,-0.351,-0.216,0.386,0.002,0.009
0.135,-0.003,0.219,-0.406,0.468,0.065
-0.467,0.492,0.194,-0.374,0.187,0.04
-0.398,-0.051,0.346,-0.274,0.235,0.04
-0.32,0.333,-0.22,-0.113,-0.493,-0.019
-0.393,-0.132,-0.38,0.258,0.179,0.041
-0.243,-0.064,-0.489,0.056,0.293,0.037
0.035,0.487,0.427,0.103,0.064,0.055
0.227,0.054,0.391,-0.428,-0.287,0.064
-0.185,-0.237,-0.368,-0.309,-0.15,-0.032
-0.194,0.12,-0.089,-0.461,0.281,0.031
0.302,0.492,0.359,0.021,-0.012,0.074
-0.298,0.321,0.315,0.397,0.012,0.045
0.435,-0.481,-0.01,0.175,-0.171,0.009
0.184,0.144,-0.366,-0.117,-0.427,0.055
0.396,-0.354,-0.062,-0.052,-0.367,0.007
0.075,0.309,0.212,0.092,0.251,0.07
-0.326,0.131,0.258,0.061,0.173,0.045
0.128,-0.029,-0.042,0.261,0.123,0.061
-0.499,-0.238,0.04,-0.225,0.021,-0.039
-0.473,-0.015,0.1,0.265,0.211,0.044
0.408,-0.363,-0.064,-0.156,0.135,0.006
-0.448,0.385,0.391,-0.297,0.48,0.04
-0.324,-0.298,-0.43,0.386,-0.15,-0.037
0.016,-0.07,-0.288,-0.035,0.351,0.041
-0.277,0.086,0.462,-0.018,0.432,0.045
-0.477,0.019,-0.258,0.334,-0.024,0.037
0.145,0.215,-0.044,0.276,-0.356,0.058
0.181,0.349,-0.095,-0.243,-0.215,0.052
-0.037,-0.382,0.465,0.43,-0.026,-0.002
0.492,-0.181,-0.481,0.158,-0.32,0.009
-0.19,-0.376,-0.113,-0.341,0.458,-0.032
0.087,-0.451,-0.362,0.428,-0.012,0.006
0.24,0.178,0.479,0.379,-0.387,0.071
-0.476,0.155,0.162,-0.056,-0.12,0.044
0.223,0.42,0.056,-0.316,-0.226,0.063
0.219,0.254,-0.097,-0.341,0.419,0.052
-0.314,0.243,0.346,0.381,-0.471,-0.011
-0.162,-0.112,-0.385,-0.218,-0.069,0.033
0.175,0.102,-0.401,-0.284,0.212,0.052
-0.031,-0.459,0.341,0.16,-0.05,-0.002
0.107,0.253,0.456,-0.044,-0.418,0.067
-0.086,-0.432,-0.373,0.438,-0.141,-0.006
-0.331,0.037,-0.438,-0.216,-0.113,0.03
-0.336,-0.321,-0.233,0.162,-0.304,-0.037
-0.358,-0.077,0.13,-0.359,0.203,0.043
0.286,-0.472,-0.48,0.04,0.398,0.009
0.38,-0.317,-0.306,-0.001,0.442,0.009
-0.309,0.036,-0.198,-0.078,0.234,0.037
-0.09,-0.152,0.072,0.426,0.491,-0.002
-0.183,-0.023,0.371,-0.156,0.251,0.04
-0.196,-0.483,0.154,0.29,-0.472,-0.072
0.185,-0.432,0.269,-0.288,-0.024,0.01
0.325,0.479,-0.239,0.068,-0.358,0.06
0.247,-0.377,0.451,-0.204,0.32,0.01
-0.097,-0.275,0.263,-0.133,-0.284,-0.004
0.489,0.453,0.108,0.191,0.267,0.072
-0.108,-0.01,-0.474,-0.397,-0.208,0.031
0.121,-0.099,-0.091,-0.443,0.037,0.056
0.363,0.046,-0.188,0.48,-0.214,0.063
0.422,0.295,0.279,0.417,-0.189,0.074
0.295,-0.213,-0.406,0.182,0.225,0.009
0.026,-0.123,0.137,-0.115,-0.496,0.008
0.396,-0.37,0.361,-0.174,-0.196,0.01
-0.214,-0.236,0.122,-0.304,0.06,-0.029
-0.216,0.293,0.155,0.475,0.088,0.044
0.046,-0.096,0.456,0.334,0.385,0.058
-0.128,-0.074,0.156,-0.127,0.093,0.048
0.125,0.319,-0.374,-0.397,0.015,0.052
0.132,-0.139,0.334,0.465,-0.048,0.013
-0.133,0.49,-0.247,0.02,0.275,0.037
-0.007,-0.039,-0.071,-0.481,-0.024,0.031
-0.214,-0.198,0.023,0.278,-0.043,-0.025
-0.299,0.06,-0.035,-0.324,-0.213,0.03
0.255,0.397,-0.469,0.162,0.462,0.063
-0.216,-0.393,0.395,-0.096,-0.11,-0.026
0.393,0.126,-0.321,0.092,0.162,0.063
-0.089,0.265,0.126,-0.143,0.492,0.039
-0.003,-0.355,0.061,-0.178,0.083,-0.005
0.223,-0.207,-0.359,0.172,0.306,0.009
-0.139,-0.063,-0.232,0.161,-0.172,0.037
0.381,0.307,-0.124,0.181,0.083,0.063
-0.498,-0.491,-0.404,-0.071,-0.289,-0.037
-0.388,-0.247,-0.36,-0.038,-0.031,-0.037
-0.118,0.368,-0.055,0.211,-0.255,0.037
-0.237,-0.44,-0.175,0.181,0.397,-0.03
0.08,0.016,-0.314,-0.261,-0.32,0.049
-0.267,-0.052,0.496,0.122,-0.104,0.045
-0.239,0.143,-0.211,-0.071,-0.111,0.037
0.277,-0.334,0.416,0.045,0.162,0.013
0.284,-0.229,-0.064,-0.084,0.489,0.009
-0.156,0.369,0.331,0.432,-0.292,0.044
-0.147,0.105,-0.232,-0.493,0.395,0.031
0.357,-0.05,-0.455,0.264,-0.17,0.063
-0.171,0.361,-0.287,0.042,0.341,0.037
-0.253,0.458,-0.34,-0.261,-0.176,0.03
-0.036,0.244,0.432,0.334,0.266,0.045
0.057,0.282,0.475,-0.386,-0.337,0.049
-0.402,0.072,-0.345,-0.313,0.352,0.03
0.286,0.195,-0.001,-0.011,-0.179,0.063
0.233,0.3,0.426,-0.305,0.47,0.068
-0.098,0.156,-0.147,-0.485,-0.041,0.031
0.241,-0.123,0.113,-0.263,0.464,0.068
0.428,0.104,0.333,-0.055,0.265,0.074
0.465,-0.498,-0.158,-0.162,0.208,0.006
-0.494,-0.005,-0.316,-0.185,-0.22,0.03
0.482,-0.169,0.226,-0.436,0.082,0.016
-0.388,-0.219,-0.48,0.015,-0.331,-0.034
-0.366,-0.043,-0.469,-0.402,0.337,0.031
0.116,0.042,0.176,-0.051,0.326,0.07
-0.367,-0.289,0.241,0.465,-0.208,-0.034
0.322,-0.178,-0.406,-0.123,0.457,0.011
-0.174,0.475,0.285,-0.373,0.027,0.041
0.066,0.108,-0.121,-0.19,-0.429,0.023
-0.496,-0.431,0.055,-0.025,0.334,-0.034
0.218,-0.197,-0.064,0.488,0.407,0.011
0.267,-0.237,-0.393,-0.375,0.173,0.01
-0.143,-0.357,0.228,-0.291,-0.015,-0.023
0.146,0.312,0.282,-0.05,-0.304,0.069
-0.153,-0.339,-0.195,0.405,0.133,-0.024
-0.323,0.092,0.207,0.08,0.485,0.044
0.132,0.342,0.208,-0.303,-0.421,0.062
0.373,-0.035,-0.467,0.325,0.28,0.063
0.328,0.059,0.377,0.067,0.462,0.074
-0.098,0.191,-0.26,0.23,-0.257,0.037
-0.12,-0.245,-0.13,-0.289,-0.34,-0.027
0.13,0.162,0.489,0.136,0.332,0.072
-0.036,-0.475,0.161,-0.3,0.46,-0.005
-0.3,-0.427,-0.04,-0.202,0.444,-0.039
0.054,-0.357,-0.164,0.306,0.113,-0.001
0.387,-0.019,-0.221,0.221,0.201,0.063
0.265,0.015,0.363,-0.113,0.311,0.074
0.254,0.389,0.344,0.337,-0.088,0.074
0.09,-0.324,-0.342,-0.278,0.079,0.003
0.445,-0.365,0.296,-0.397,-0.096,0.014
-0.487,0.058,0.203,-0.321,0.372,0.039
-0.202,0.31,0.487,-0.469,0.02,0.041
0.4,-0.251,-0.352,0.349,0.244,0.009
-0.472,-0.474,0.29,-0.489,-0.094,-0.046
-0.488,0.014,-0.374,-0.345,0.46,0.031
0.061,0.421,-0.07,0.083,-0.461,0.006
-0.332,0.059,-0.1,-0.495,-0.08,0.031
0.037,0.484,0.423,0.468,-0.079,0.055
-0.494,0.496,0.353,0.172,0.462,0.045
-0.457,0.244,-0.44,-0.498,0.434,0.031
0.189,-0.078,-0.452,0.009,0.081,0.066
-0.129,-0.02,-0.171,0.258,-0.283,0.037
0.37,0.449,-0.381,0.477,-0.408,0.058
0.49,0.297,-0.246,-0.267,0.105,0.054
0.052,-0.016,-0.468,-0.219,0.495,0.041
-0.105,0.063,-0.214,-0.389,-0.043,0.031
0.215,-0.401,0.228,0.003,-0.317,0.011
-0.448,0.015,-0.348,-0.447,0.246,0.031
0.498,0.182,0.476,0.399,0.181,0.074
-0.021,-0.303,-0.28,0.439,-0.487,-0.049
-0.312,-0.418,0.432,0.244,0.209,-0.034
0.227,-0.056,0.084,-0.349,-0.224,0.066
0.078,-0.358,-0.247,-0.413,-0.359,0.006
-0.417,-0.298,0.063,-0.159,-0.193,-0.037
-0.452,0.288,-0.285,0.259,-0.363,0.037
0.055,0.066,0.092,-0.457,0.354,0.051
0.031,-0.186,-0.217,0.357,0.391,-0.001
-0.451,0.378,-0.319,0.032,0.037,0.037
-0.476,-0.078,0.027,0.084,0.11,0.041
-0.115,-0.175,0.102,0.107,-0.209,-0.018
0.238,-0.106,0.036,0.237,0.446,0.066
-0.195,0.429,-0.402,0.341,-0.462,-0.014
0.29,-0.163,-0.257,0.368,0.065,0.011
-0.326,0.081,-0.179,0.495,-0.151,0.037
0.351,-0.039,-0.265,-0.049,-0.186,0.063
0.241,-0.441,0.215,-0.161,-0.141,0.01
0.34,-0.121,0.339,0.272,-0.157,0.078
-0.27,-0.013,0.408,0.455,0.279,0.045
-0.09,0.102,0.237,-0.266,-0.262,0.039
0.244,-0.049,0.079,0.421,-0.412,0.069
-0.005,0.2,0.141,0.205,0.248,0.044
-0.192,-0.074,0.478,0.07,0.199,0.048
0.169,0.361,-0.158,-0.307,0.48,0.052
0.06,-0.189,0.315,-0.013,-0.39,0.001
-0.026,-0.449,-0.36,0.481,0.302,-0.006
0.425,0.274,-0.416,-0.018,0.237,0.063
0.193,0.087,-0.458,-0.327,-0.412,0.047
-0.352,-0.346,-0.443,-0.269,0.143,-0.04
-0.041,-0.372,-0.421,-0.119,-0.249,-0.006
0.109,0.084,0.399,-0.361,-0.084,0.064
-0.247,0.367,0.119,-0.033,0.034,0.044
-0.254,-0.001,-0.228,-0.496,-0.496,-0.025
-0.301,-0.337,0.076,0.351,0.335,-0.034
0.088,0.18,0.194,0.312,-0.33,0.067
0.207,-0.019,0.327,0.197,0.298,0.072
0.475,-0.14,-0.278,-0.089,0.33,0.011
0.285,0.082,-0.14,-0.356,0.152,0.054
0.464,0.062,-0.209,0.284,0.072,0.063
0.468,0.273,0.259,-0.433,-0.088,0.068
0.385,-0.094,-0.307,0.156,0.253,0.066
0.012,0.299,-0.417,-0.325,0.111,0.03
-0.039,0.342,-0.176,-0.295,0.257,0.03
-0.359,-0.264,-0.275,-0.237,-0.322,-0.04
0.407,-0.344,-0.334,0.234,-0.295,0.007
-0.289,0.025,0.12,0.447,-0.297,0.044
-0.35,-0.131,0.384,-0.094,0.229,0.048
0.414,-0.112,-0.021,-0.167,0.155,0.057
-0.12,-0.412,0.426,-0.357,-0.386,-0.024
0.071,0.075,0.046,-0.305,-0.49,-0.005
0.252,0.366,0.411,0.001,0.221,0.074
-0.301,0.378,-0.013,-0.033,0.447,0.037
-0.329,0.333,-0.277,0.03,0.319,0.037
-0.466,0.001,-0.41,-0.042,0.402,0.037
0.152,-0.291,0.097,-0.451,0.204,0.011
0.062,-0.271,-0.468,-0.173,0.436,-0.003
0.063,0.003,0.109,0.067,0.456,0.054
-0.384,-0.391,0.198,0.128,0.054,-0.034
-0.201,0.367,-0.212,0.37,-0.448,-0.014
0.445,0.283,0.471,-0.46,0.17,0.068
-0.043,0.158,0.211,-0.178,0.49,0.039
-0.007,0.344,0.028,0.095,-0.274,0.037
-0.262,-0.095,-0.294,-0.405,-0.353,0.033
-0.0,0.419,0.188,0.029,0.414,0.044
-0.462,-0.379,-0.425,0.244,-0.42,-0.045
-0.127,0.402,0.245,-0.171,-0.41,0.023
0.431,0.32,0.316,-0.142,0.283,0.068
0.008,0.488,-0.25,0.381,-0.286,0.037
0.214,-0.459,-0.388,-0.481,-0.025,0.01
-0.492,0.31,0.035,0.065,0.091,0.037
-0.459,-0.227,0.4,-0.138,-0.396,-0.04
-0.293,0.044,0.081,-0.024,0.172,0.044
-0.42,-0.479,0.134,0.027,-0.036,-0.034
0.021,-0.242,0.269,0.476,-0.035,-0.002
0.337,-0.48,-0.215,0.094,0.138,0.009
0.03,-0.115,-0.09,0.202,0.318,0.051
0.45,0.192,-0.347,-0.26,0.485,0.054
-0.297,0.214,-0.177,-0.208,0.117,0.03
0.486,0.381,-0.087,0.354,0.32,0.063
0.117,0.124,0.472,-0.166,0.384,0.064
-0.476,-0.135,0.038,0.402,0.5,0.041
0.293,0.085,-0.227,0.379,-0.214,0.063
0.286,0.317,0.385,-0.18,-0.081,0.068
0.375,0.352,0.338,0.066,-0.032,0.074
-0.482,-0.252,0.288,0.3,-0.037,-0.034
0.408,0.375,0.141,-0.43,0.471,0.066
0.163,0.193,-0.161,0.118,-0.493,0.016
0.201,0.266,-0.138,0.023,-0.262,0.061
-0.304,0.443,0.208,0.378,-0.138,0.044
0.283,0.345,0.109,-0.16,0.474,0.066
0.004,0.262,0.445,0.412,0.227,0.045
-0.018,0.409,-0.076,0.426,0.048,0.037
-0.496,0.294,-0.474,-0.37,-0.119,0.031
-0.353,-0.373,0.376,0.451,-0.449,-0.085
-0.477,-0.348,-0.261,-0.268,-0.261,-0.04
0.381,-0.161,-0.411,0.272,0.184,0.011
0.355,0.254,-0.477,0.073,-0.421,0.058
0.461,-0.317,0.484,-0.428,-0.168,0.014
-0.232,0.367,-0.153,0.255,-0.462,-0.014
-0.299,0.018,0.002,0.205,-0.198,0.037
0.181,-0.406,-0.015,0.037,-0.355,0.007
0.28,-0.253,0.166,0.291,0.179,0.013
-0.493,-0.041,0.198,-0.185,0.329,0.039
0.067,0.181,-0.377,-0.008,-0.465,0.006
-0.124,-0.0,-0.357,0.176,0.339,0.037
-0.387,0.484,-0.168,-0.005,0.405,0.037
0.218,0.076,-0.101,-0.273,-0.375,0.047
0.438,0.337,-0.332,0.043,-0.127,0.063
0.305,-0.417,-0.022,0.219,0.388,0.009
-0.193,-0.333,0.007,0.359,0.174,-0.028
0.319,0.19,-0.391,-0.093,0.322,0.063
0.012,-0.042,0.157,-0.387,-0.435,0.024
-0.075,0.16,-0.147,0.495,0.104,0.037
0.017,-0.213,0.244,-0.481,-0.309,-0.001
0.217,0.209,-0.438,-0.161,0.181,0.052
-0.034,-0.092,0.464,0.148,-0.053,0.048
0.451,-0.139,0.093,0.348,0.159,0.013
-0.16,-0.081,0.093,-0.255,-0.037,0.042
0.051,-0.397,-0.362,-0.023,0.4,-0.001
-0.032,0.356,0.371,-0.055,0.03,0.045
0.044,-0.01,-0.341,0.339,-0.234,0.047
0.243,0.006,0.366,0.304,0.015,0.074
-0.421,0.184,0.33,0.432,-0.41,0.029
0.136,-0.33,0.017,0.389,0.337,0.007
-0.234,0.458,0.416,0.008,0.108,0.045
-0.234,0.133,0.107,0.243,-0.446,0.028
0.116,-0.441,-0.333,-0.145,-0.385,0.002
0.26,0.246,0.455,0.49,0.291,0.074
-0.228,-0.389,0.026,0.459,0.493,-0.028
-0.216,0.473,-0.02,0.241,0.036,0.037
-0.066,0.106,-0.448,-0.281,0.003,0.03
-0.165,-0.403,0.371,0.409,0.284,-0.02
0.46,-0.183,-0.193,0.07,0.157,0.011
0.189,0.37,0.155,0.037,0.47,0.072
-0.331,0.021,-0.393,-0.211,-0.068,0.03
-0.043,-0.27,-0.251,-0.032,0.259,-0.006
0.249,-0.222,0.062,0.057,0.222,0.012
-0.12,0.497,0.019,0.071,-0.435,0.019
-0.416,0.322,0.192,0.439,0.056,0.044
0.205,0.491,-0.248,-0.358,0.041,0.052
0.364,0.375,-0.166,-0.201,-0.353,0.052
0.128,0.104,-0.317,-0.479,0.114,0.052
-0.244,-0.451,-0.319,0.275,0.397,-0.03
0.092,0.376,-0.474,0.287,0.454,0.06
0.136,-0.282,-0.12,0.392,-0.466,-0.028
-0.073,0.077,-0.375,0.298,-0.303,0.037
-0.201,-0.293,0.192,-0.234,0.046,-0.029
-0.345,0.081,0.206,-0.217,-0.454,-0.014
-0.27,0.075,-0.482,-0.068,-0.299,0.037
-0.435,-0.081,0.26,-0.001,-0.084,0.048
-0.14,-0.157,-0.051,-0.126,0.046,-0.022
-0.292,-0.426,0.485,-0.169,-0.426,-0.043
0.163,-0.473,-0.185,-0.053,0.14,0.007
-0.496,0.09,-0.341,0.006,-0.243,0.037
-0.464,0.111,0.085,-0.086,0.292,0.044
0.375,-0.257,-0.302,-0.203,-0.331,0.004
-0.442,-0.083,-0.374,0.366,-0.444,0.022
-0.309,-0.104,0.391,-0.001,0.061,0.048
-0.457,0.026,-0.249,-0.068,-0.191,0.037
0.061,-0.007,-0.062,-0.011,-0.075,0.047
-0.009,0.429,-0.025,-0.016,0.096,0.037
0.337,-0.179,-0.354,0.162,0.407,0.011
-0.197,-0.111,-0.094,-0.44,-0.445,0.014
-0.362,-0.468,-0.467,-0.419,0.192,-0.04
0.432,-0.234,-0.186,-0.139,-0.12,0.006
-0.034,-0.274,-0.457,-0.21,0.129,-0.008
-0.401,-0.355,-0.47,-0.336,-0.154,-0.04
0.417,0.305,0.427,-0.44,0.472,0.068
