rtp_fs,ld_ind_fs,spd_rat_adj_fs,ph_fs
0.251,0.294,0.065,-0.173
0.417,-0.15,0.32,-0.174
-0.419,0.19,0.455,-0.196
0.013,-0.371,0.403,-0.201
-0.309,0.375,-0.303,-0.177
-0.338,0.19,-0.08,-0.177
0.132,-0.072,-0.119,-0.173
-0.117,-0.387,-0.414,-0.239
0.037,-0.337,0.425,-0.188
0.081,0.133,0.377,-0.188
0.258,0.322,-0.293,-0.173
-0.024,-0.314,0.373,-0.188
-0.291,0.312,-0.137,-0.177
-0.255,-0.493,0.455,-0.251
-0.229,-0.076,-0.487,-0.177
0.45,-0.304,0.464,-0.191
0.498,-0.029,-0.069,-0.173
0.224,-0.203,-0.179,-0.173
-0.024,0.016,0.099,-0.173
0.319,-0.276,0.03,-0.174
0.258,0.038,0.481,-0.206
0.028,-0.426,-0.463,-0.238
0.481,-0.244,0.475,-0.206
-0.329,0.242,0.391,-0.192
-0.471,-0.002,-0.223,-0.177
0.028,-0.021,-0.454,-0.173
0.067,0.228,0.022,-0.173
-0.113,-0.48,-0.401,-0.25
0.408,-0.287,-0.292,-0.174
0.055,0.091,-0.314,-0.173
0.189,0.156,-0.12,-0.173
0.033,0.364,-0.456,-0.173
-0.004,-0.241,-0.333,-0.173
-0.117,0.311,-0.454,-0.173
0.106,0.319,-0.279,-0.173
-0.034,0.312,0.242,-0.173
-0.325,0.021,-0.379,-0.177
0.408,-0.108,-0.338,-0.173
0.082,-0.341,0.395,-0.188
-0.11,0.385,-0.241,-0.173
0.209,0.403,-0.06,-0.173
0.389,0.1,0.404,-0.188
0.04,-0.386,-0.059,-0.239
0.469,-0.265,-0.109,-0.174
-0.291,-0.459,-0.471,-0.249
0.092,-0.391,0.192,-0.239
0.356,0.242,0.416,-0.191
0.002,-0.187,-0.076,-0.173
0.125,0.215,-0.297,-0.173
0.358,0.384,0.144,-0.173
0.263,-0.156,-0.24,-0.173
-0.416,-0.37,0.404,-0.202
-0.031,0.169,0.152,-0.173
-0.051,0.327,0.098,-0.173
0.107,0.185,0.373,-0.188
0.445,0.157,0.074,-0.173
0.214,-0.49,0.336,-0.25
-0.082,0.416,0.122,-0.173
0.393,0.434,0.104,-0.173
0.174,0.051,-0.45,-0.173
-0.344,-0.352,-0.294,-0.178
-0.493,0.462,-0.186,-0.177
0.341,0.162,0.044,-0.173
-0.096,0.468,-0.371,-0.173
0.087,0.026,-0.263,-0.173
-0.224,0.001,-0.161,-0.177
-0.107,0.033,0.447,-0.191
-0.419,0.036,-0.036,-0.177
0.448,-0.323,0.28,-0.175
-0.365,0.343,0.353,-0.193
0.209,0.468,-0.165,-0.173
0.287,0.332,0.0,-0.173
-0.181,0.189,0.371,-0.188
0.406,-0.462,0.258,-0.25
-0.021,0.184,-0.046,-0.173
0.053,0.277,0.274,-0.174
0.111,0.066,0.003,-0.173
-0.394,0.462,0.235,-0.177
-0.142,0.144,-0.058,-0.173
0.375,-0.127,-0.494,-0.173
-0.317,0.456,0.254,-0.177
0.236,0.428,-0.214,-0.173
-0.255,-0.06,0.461,-0.196
-0.103,0.335,-0.403,-0.173
0.336,0.063,0.269,-0.174
-0.269,0.37,-0.125,-0.177
-0.374,0.248,-0.216,-0.177
0.393,0.378,0.498,-0.206
0.063,-0.395,-0.461,-0.239
-0.481,-0.374,-0.032,-0.186
0.416,0.437,0.073,-0.173
-0.374,0.055,0.036,-0.177
-0.487,0.182,0.267,-0.177
-0.28,-0.118,-0.06,-0.177
-0.424,0.439,0.486,-0.206
0.371,0.3,-0.257,-0.173
-0.215,0.075,-0.427,-0.177
-0.444,0.192,-0.135,-0.177
0.314,0.046,0.033,-0.173
-0.104,0.199,0.251,-0.173
0.032,0.168,0.148,-0.173
0.087,0.107,-0.368,-0.173
0.189,-0.376,0.136,-0.185
0.391,0.487,0.103,-0.173
0.304,0.066,0.395,-0.188
-0.207,0.232,0.337,-0.178
-0.442,0.394,0.236,-0.177
0.17,-0.058,0.299,-0.174
-0.495,-0.092,0.434,-0.196
-0.052,0.174,0.021,-0.173
-0.315,0.141,-0.055,-0.177
-0.396,-0.372,-0.415,-0.186
0.079,0.023,-0.084,-0.173
-0.422,-0.058,0.347,-0.193
-0.454,0.1,0.29,-0.178
0.195,0.266,-0.032,-0.173
-0.342,-0.187,-0.261,-0.177
0.255,-0.456,0.23,-0.249
-0.094,0.248,0.376,-0.188
0.185,-0.484,-0.06,-0.25
0.208,0.002,-0.272,-0.173
0.185,-0.337,0.379,-0.188
0.335,0.122,0.373,-0.188
0.091,-0.404,0.084,-0.239
-0.317,0.449,-0.339,-0.177
-0.029,0.079,0.386,-0.188
-0.253,-0.419,0.083,-0.246
0.35,0.296,-0.459,-0.173
-0.237,0.287,-0.095,-0.177
-0.02,0.462,-0.409,-0.173
-0.345,0.298,-0.191,-0.177
0.355,-0.388,-0.24,-0.239
0.035,0.482,0.039,-0.173
0.146,-0.273,0.455,-0.191
-0.092,0.317,-0.048,-0.173
-0.083,0.442,0.134,-0.173
-0.184,-0.168,0.01,-0.173
0.082,-0.229,0.18,-0.173
-0.249,0.224,-0.314,-0.177
0.122,-0.25,-0.336,-0.173
-0.296,-0.383,0.438,-0.204
0.221,0.471,0.256,-0.173
-0.002,-0.23,-0.177,-0.173
0.403,0.378,-0.339,-0.173
0.172,0.346,-0.354,-0.173
-0.465,-0.134,-0.277,-0.177
0.114,-0.323,0.329,-0.175
-0.359,0.422,0.384,-0.192
-0.345,0.092,-0.201,-0.177
-0.123,-0.1,0.137,-0.173
-0.418,0.261,0.355,-0.193
-0.264,0.334,0.295,-0.178
0.038,0.066,-0.398,-0.173
0.084,-0.213,-0.48,-0.173
0.426,-0.157,0.216,-0.173
0.107,0.352,-0.074,-0.173
-0.467,0.416,0.025,-0.177
-0.107,0.013,0.379,-0.188
-0.076,-0.225,-0.3,-0.173
-0.31,0.35,-0.462,-0.177
0.074,-0.395,0.368,-0.239
-0.219,-0.063,0.228,-0.177
-0.17,0.243,0.17,-0.173
0.138,0.134,-0.145,-0.173
0.33,0.394,-0.3,-0.173
0.007,0.457,0.203,-0.173
-0.426,0.307,-0.407,-0.177
0.177,-0.091,0.324,-0.174
0.39,0.462,-0.392,-0.173
0.389,-0.412,-0.264,-0.239
-0.299,0.452,-0.076,-0.177
0.062,0.141,0.305,-0.174
-0.121,-0.105,-0.235,-0.173
0.157,-0.106,0.336,-0.174
0.482,0.141,0.489,-0.206
0.357,0.405,-0.411,-0.173
-0.402,-0.146,0.447,-0.196
0.287,-0.198,0.137,-0.173
-0.307,-0.438,-0.403,-0.246
-0.319,-0.319,0.035,-0.178
-0.063,0.257,0.352,-0.188
-0.139,0.207,0.281,-0.173
0.159,0.057,-0.108,-0.173
-0.399,-0.021,-0.233,-0.177
-0.383,-0.421,0.21,-0.246
-0.33,-0.361,-0.432,-0.186
0.401,-0.31,-0.055,-0.174
0.101,-0.01,0.306,-0.174
-0.282,-0.05,0.096,-0.177
-0.037,0.49,-0.034,-0.173
0.184,0.012,0.148,-0.173
0.069,-0.486,-0.023,-0.25
0.336,-0.091,-0.288,-0.173
-0.449,-0.118,0.35,-0.193
0.114,0.421,-0.025,-0.173
0.079,0.174,0.439,-0.191
0.488,0.49,-0.397,-0.173
0.128,-0.016,0.225,-0.173
-0.334,0.366,-0.107,-0.177
-0.409,-0.485,-0.21,-0.249
-0.429,-0.09,-0.477,-0.177
0.454,-0.377,-0.117,-0.185
0.142,0.298,-0.344,-0.173
-0.344,-0.282,-0.198,-0.178
0.043,-0.494,0.478,-0.244
-0.378,-0.143,0.272,-0.178
0.086,0.124,0.334,-0.174
0.174,-0.132,0.38,-0.188
0.404,-0.024,-0.327,-0.173
0.168,-0.127,0.207,-0.173
0.268,-0.215,-0.017,-0.173
-0.408,0.086,-0.351,-0.177
-0.171,0.362,-0.327,-0.173
0.45,-0.128,-0.189,-0.173
-0.231,0.472,-0.298,-0.177
0.162,-0.151,0.496,-0.206
-0.433,0.022,-0.119,-0.177
-0.328,0.21,-0.121,-0.177
-0.033,-0.307,-0.416,-0.174
-0.318,-0.436,0.047,-0.246
-0.343,-0.322,-0.478,-0.178
0.227,0.245,0.224,-0.173
0.305,0.22,-0.249,-0.173
0.142,-0.049,-0.248,-0.173
0.473,-0.132,-0.351,-0.173
-0.188,-0.211,-0.361,-0.173
-0.178,-0.133,-0.092,-0.173
-0.131,0.196,0.307,-0.173
-0.162,-0.311,0.287,-0.175
0.246,-0.434,-0.092,-0.238
-0.48,0.162,-0.387,-0.177
-0.187,-0.13,0.382,-0.188
0.414,-0.34,-0.493,-0.174
0.04,-0.197,0.361,-0.188
0.234,0.273,-0.088,-0.173
0.205,0.087,0.261,-0.173
-0.443,0.363,-0.059,-0.177
0.071,0.109,-0.035,-0.173
-0.417,-0.236,-0.357,-0.177
-0.415,0.129,0.416,-0.196
-0.131,-0.452,0.058,-0.249
0.493,-0.489,-0.15,-0.25
-0.466,0.212,-0.261,-0.177
-0.384,0.245,-0.389,-0.177
-0.064,0.336,-0.084,-0.173
-0.222,0.028,0.2,-0.177
0.494,0.467,-0.092,-0.173
-0.02,-0.416,0.39,-0.239
-0.164,0.094,-0.324,-0.173
-0.038,0.445,-0.309,-0.173
0.003,0.254,0.058,-0.173
-0.003,-0.145,-0.24,-0.173
-0.095,0.473,-0.03,-0.173
0.358,-0.479,0.206,-0.25
0.181,0.298,-0.153,-0.173
-0.12,-0.439,0.305,-0.238
-0.358,0.296,0.144,-0.177
-0.491,0.267,0.084,-0.177
0.342,-0.414,0.312,-0.239
0.335,0.142,-0.189,-0.173
0.497,-0.323,0.256,-0.174
-0.361,0.004,0.45,-0.196
-0.307,0.309,-0.431,-0.177
-0.376,0.478,0.323,-0.178
-0.02,-0.496,0.087,-0.25
-0.487,0.177,-0.123,-0.177
0.123,0.022,-0.419,-0.173
0.148,0.093,-0.219,-0.173
0.283,0.31,-0.147,-0.173
0.075,-0.162,0.436,-0.191
-0.314,0.282,0.152,-0.177
-0.112,0.199,0.374,-0.188
0.197,0.008,0.022,-0.173
-0.289,0.3,0.309,-0.178
-0.152,0.426,0.088,-0.173
0.19,-0.294,-0.301,-0.174
-0.29,-0.098,0.442,-0.196
-0.086,0.246,0.352,-0.188
0.147,-0.104,0.398,-0.188
0.396,0.288,0.474,-0.206
0.443,0.138,-0.196,-0.173
-0.368,-0.117,-0.04,-0.177
0.275,-0.201,0.009,-0.173
0.437,0.258,-0.373,-0.173
0.3,-0.201,-0.18,-0.173
0.447,-0.011,-0.088,-0.173
-0.135,0.298,-0.196,-0.173
0.473,-0.105,-0.448,-0.173
-0.359,-0.112,0.266,-0.177
-0.411,-0.124,0.449,-0.196
-0.209,0.054,0.326,-0.178
-0.008,-0.267,0.336,-0.175
0.028,0.273,-0.338,-0.173
0.179,-0.219,-0.018,-0.173
-0.084,-0.149,-0.407,-0.173
-0.482,0.164,-0.481,-0.177
0.256,0.419,-0.427,-0.173
0.387,-0.381,-0.278,-0.185
-0.126,-0.291,-0.373,-0.174
0.094,-0.131,0.261,-0.173
-0.417,-0.356,0.093,-0.178
0.498,-0.214,0.342,-0.188
-0.173,0.367,-0.316,-0.173
0.497,-0.447,0.471,-0.243
0.465,-0.284,-0.072,-0.174
-0.401,-0.4,-0.28,-0.247
-0.205,-0.243,0.105,-0.177
-0.018,-0.275,0.45,-0.191
0.295,0.376,0.407,-0.188
0.144,-0.076,0.362,-0.188
-0.464,-0.346,0.479,-0.203
0.242,-0.365,0.052,-0.185
0.43,0.064,0.301,-0.174
-0.084,-0.255,0.297,-0.173
-0.323,-0.292,0.369,-0.193
-0.119,0.059,-0.095,-0.173
-0.1,-0.275,0.415,-0.191
0.47,0.461,-0.267,-0.173
0.454,-0.234,-0.147,-0.173
0.482,-0.389,0.273,-0.239
-0.458,0.057,0.131,-0.177
0.06,0.242,0.427,-0.191
0.366,-0.068,-0.143,-0.173
0.073,0.087,0.086,-0.173
-0.498,0.25,-0.307,-0.177
-0.457,0.118,0.008,-0.177
-0.112,-0.099,0.244,-0.173
-0.186,0.261,0.346,-0.188
0.363,-0.034,-0.174,-0.173
-0.295,0.028,0.323,-0.178
-0.456,-0.214,0.229,-0.177
-0.34,0.371,-0.264,-0.177
-0.165,0.143,-0.262,-0.173
0.306,-0.389,-0.426,-0.239
0.141,0.338,-0.162,-0.173
0.088,-0.263,0.188,-0.173
-0.395,0.128,0.194,-0.177
0.079,0.029,-0.482,-0.173
-0.463,0.481,-0.374,-0.177
-0.259,-0.079,0.016,-0.177
0.022,-0.218,-0.379,-0.173
0.206,-0.037,-0.148,-0.173
0.166,0.324,-0.442,-0.173
-0.249,-0.102,0.086,-0.177
-0.25,-0.031,0.333,-0.178
-0.325,-0.008,-0.241,-0.177
0.374,0.278,0.17,-0.173
0.018,0.451,0.444,-0.191
-0.38,0.299,-0.408,-0.177
0.469,0.109,-0.458,-0.173
-0.335,0.437,-0.395,-0.177
-0.147,0.09,-0.243,-0.173
-0.24,-0.213,0.02,-0.177
-0.201,0.389,-0.135,-0.177
0.319,-0.111,0.44,-0.191
0.052,0.208,-0.043,-0.173
0.13,-0.362,-0.439,-0.185
-0.063,0.121,-0.393,-0.173
0.499,-0.424,-0.199,-0.238
0.416,0.183,-0.433,-0.173
0.39,-0.446,-0.188,-0.249
-0.445,0.406,-0.46,-0.177
-0.489,-0.162,-0.274,-0.177
-0.112,0.275,0.497,-0.206
-0.132,0.048,-0.405,-0.173
0.258,-0.292,0.051,-0.174
0.119,-0.048,-0.417,-0.173
0.392,0.123,0.286,-0.174
-0.026,-0.206,0.157,-0.173
0.242,0.128,0.036,-0.173
-0.268,0.317,-0.381,-0.177
0.42,-0.142,-0.486,-0.173
-0.13,-0.013,-0.043,-0.173
0.194,-0.452,0.374,-0.249
0.491,0.184,0.172,-0.173
-0.368,-0.094,0.08,-0.177
-0.183,-0.138,-0.207,-0.173
0.09,-0.38,-0.14,-0.185
0.138,-0.479,-0.401,-0.25
0.165,0.074,-0.473,-0.173
-0.309,-0.489,0.248,-0.249
0.311,-0.078,-0.075,-0.173
0.055,0.159,-0.279,-0.173
0.011,-0.044,-0.487,-0.173
-0.363,0.19,0.377,-0.192
0.348,0.41,0.457,-0.191
0.166,-0.369,-0.352,-0.185
0.474,-0.079,-0.183,-0.173
-0.45,-0.239,-0.417,-0.177
-0.107,0.403,-0.012,-0.173
-0.157,-0.244,0.175,-0.173
0.397,-0.042,0.475,-0.206
-0.292,0.397,-0.166,-0.177
-0.404,-0.368,0.289,-0.187
-0.038,-0.38,-0.351,-0.185
0.3,-0.248,-0.41,-0.173
-0.186,0.309,-0.131,-0.173
0.415,0.383,-0.097,-0.173
0.065,-0.459,-0.17,-0.25
-0.184,0.459,0.117,-0.173
0.222,0.123,0.444,-0.191
-0.009,-0.365,0.153,-0.185
-0.155,-0.063,0.075,-0.173
0.268,-0.46,-0.458,-0.25
0.326,-0.255,0.269,-0.174
-0.306,-0.287,-0.384,-0.178
0.383,0.409,0.13,-0.173
0.361,0.459,-0.388,-0.173
0.36,-0.047,0.037,-0.173
-0.302,0.259,0.4,-0.192
0.037,-0.448,-0.191,-0.249
0.283,0.391,0.234,-0.173
-0.088,0.497,-0.443,-0.173
-0.369,-0.241,-0.47,-0.177
-0.21,0.186,-0.242,-0.177
